Project,Directory,Current_Tier_Numeric,Semantic_Tier,LLM_First_Score,Sovereignty_Score,Integration_Complexity,Strategic_Value,Weighted_Score,Decision,Timeline_Weeks,Status,Notes
Ultimate MCP Server,ultimate_mcp_server,1,PRODUCTION-READY,0.95,0.85,0.90,0.95,0.90,adopt_immediately,1-2,ready,"70+ tools, perfect LLM-first architecture"
Claude Task Master,claude-task-master,1,PRODUCTION-READY,0.90,0.80,0.85,0.85,0.86,adopt_immediately,1-2,ready,"Direct adapter pattern, proven architecture"
Graphiti Memory,graphiti,2,ADVANCED-STABLE,0.85,0.75,0.80,0.90,0.82,adopt_immediately,2-4,ready,"Temporal knowledge graphs, needs adaptation"
Agent CLI,agent-cli,2,ADVANCED-STABLE,0.80,0.85,0.75,0.80,0.80,adopt_immediately,2-4,ready,"Command-line interface, conversation patterns"
CrewAI Framework,agent-bundles/crewai-firecrawl-scraper,2,ADVANCED-STABLE,0.75,0.70,0.70,0.85,0.75,adapt_and_integrate,3-6,pending,"Multi-agent orchestration, role-based"
BMAD Method,agent-bundles/BMAD-METHOD,2,ADVANCED-STABLE,0.80,0.90,0.75,0.80,0.80,adopt_immediately,2-4,pending,"Agent morphing, workflow automation"
AutoGen Integration,bluelabel-autopilot,3,EMERGING-VIABLE,0.70,0.60,0.65,0.80,0.69,adapt_and_integrate,4-8,pending,"Conversation-driven, needs adaptation"
AI Engineering Hub,ai-engineering-hub,3,EMERGING-VIABLE,0.65,0.70,0.60,0.85,0.69,adapt_and_integrate,4-8,pending,"58 projects, varied quality"
Swarm Patterns,tools,3,EMERGING-VIABLE,0.70,0.80,0.60,0.75,0.70,adapt_and_integrate,4-8,pending,"Distributed coordination, complex"
DevDocs Agent MCP,DevDocs,3,EMERGING-VIABLE,0.75,0.65,0.65,0.70,0.69,adapt_and_integrate,4-8,pending,"Documentation infrastructure"
MCP Agent,mcp-agent,2,ADVANCED-STABLE,0.85,0.75,0.70,0.75,0.78,adapt_and_integrate,3-6,pending,"Composable workflows, pattern library"
Anthropic Cookbook,anthropic-cookbook,4,RESEARCH-READY,0.60,0.80,0.50,0.70,0.63,adapt_and_integrate,6-12,pending,"Educational patterns, research"
Open WebUI,open-webui,3,EMERGING-VIABLE,0.65,0.70,0.65,0.75,0.68,adapt_and_integrate,4-8,pending,"Web interface, UI patterns"
Playwright MCP,playwright-mcp,2,ADVANCED-STABLE,0.80,0.75,0.75,0.70,0.76,adapt_and_integrate,3-6,pending,"Browser automation, testing"
TensorZero,kingly-os,4,RESEARCH-READY,0.55,0.60,0.45,0.85,0.60,adapt_and_integrate,8-16,pending,"MLOps framework, complex integration"
Memory Systems,mem0,3,EMERGING-VIABLE,0.70,0.75,0.60,0.80,0.71,adapt_and_integrate,4-8,pending,"Memory layer, persistence"
AgenticMemory,AgenticMemory,4,RESEARCH-READY,0.60,0.70,0.50,0.75,0.63,adapt_and_integrate,6-12,pending,"Memory framework, needs validation"
MCP CLI,mcp-cli,2,ADVANCED-STABLE,0.85,0.80,0.75,0.65,0.78,adapt_and_integrate,3-6,pending,"Command line interface"
FastMCP,fastmcp,2,ADVANCED-STABLE,0.90,0.85,0.80,0.70,0.82,adopt_immediately,2-4,pending,"Fast MCP implementation"
MindsDB,mindsdb,3,EMERGING-VIABLE,0.60,0.50,0.55,0.80,0.62,adapt_and_integrate,6-12,pending,"AI database integration"
Activepieces,activepieces,3,EMERGING-VIABLE,0.55,0.60,0.60,0.70,0.61,adapt_and_integrate,6-12,pending,"Workflow automation platform"
1Panel,1Panel,5,EXPERIMENTAL-PROMISING,0.40,0.70,0.45,0.60,0.51,research_only,12+,pending,"Web panel interface"
AIOS,AIOS,4,RESEARCH-READY,0.50,0.65,0.50,0.75,0.58,adapt_and_integrate,8-16,pending,"Agent OS framework"
Cerebrum,Cerebrum,5,EXPERIMENTAL-PROMISING,0.45,0.60,0.40,0.65,0.50,research_only,12+,pending,"Benchmarking framework"
Upsonic,Upsonic,5,EXPERIMENTAL-PROMISING,0.50,0.70,0.45,0.60,0.54,research_only,12+,pending,"Cloud storage solution"
